x,y,theta,vl,vr,left_pwm,right_pwm
1.58,-2.31,-0.61,1.27,0.91,40,40
1.68,-2.38,-0.70,1.31,0.91,40,40
1.76,-2.44,-0.78,1.29,0.88,40,40
1.83,-2.52,-0.85,1.29,0.89,40,40
1.92,-2.61,-0.94,1.35,0.94,40,40
1.99,-2.72,-1.03,1.39,0.97,40,40
2.06,-2.82,-1.14,1.43,0.95,40,40
2.11,-2.94,-1.23,1.45,0.98,40,40
2.15,-3.05,-1.31,1.46,1.00,40,40
2.18,-3.18,-1.40,1.47,1.01,40,40
2.20,-3.30,-1.47,1.45,1.02,40,40
2.22,-3.42,-1.56,1.46,1.02,40,40
2.22,-3.54,-1.67,1.47,0.99,40,40
2.21,-3.67,-1.76,1.48,1.01,40,40
2.18,-3.79,-1.85,1.49,1.01,40,40
2.15,-3.91,-1.96,1.49,0.99,40,40
2.10,-4.03,-2.04,1.49,1.00,40,40
2.04,-4.14,-2.13,1.49,1.01,40,40
1.98,-4.24,-2.22,1.46,0.99,40,40
1.91,-4.34,-2.31,1.47,1.00,40,40
1.82,-4.43,-2.40,1.48,1.01,40,40
1.73,-4.51,-2.51,1.48,0.98,40,40
1.63,-4.59,-2.60,1.49,1.00,40,40
1.52,-4.66,-2.69,1.49,1.01,40,40
1.41,-4.71,-2.80,1.49,0.98,40,40
1.29,-4.75,-2.88,1.49,1.00,40,40
1.18,-4.78,-2.95,1.46,1.01,40,40
1.06,-4.81,-3.06,1.47,0.98,40,40
0.93,-4.82,3.13,1.48,1.00,40,40
0.81,-4.81,3.05,1.48,1.01,40,40
0.68,-4.80,2.93,1.49,0.98,40,40
0.56,-4.78,2.85,1.49,1.00,40,40
0.43,-4.74,2.78,1.49,1.05,40,40
0.32,-4.70,2.67,1.49,1.01,40,40
0.21,-4.64,2.60,1.46,1.02,40,40
0.10,-4.58,2.51,1.47,1.02,40,40
0.01,-4.50,2.40,1.48,0.99,40,40
-0.09,-4.42,2.32,1.48,1.01,40,40
-0.17,-4.33,2.23,1.49,1.02,40,40
-0.25,-4.23,2.12,1.49,0.99,40,40
-0.31,-4.12,2.03,1.49,1.00,40,40
-0.37,-4.01,1.94,1.49,1.01,40,40
-0.41,-3.90,1.85,1.46,0.99,40,40
-0.45,-3.78,1.76,1.47,1.00,40,40
-0.47,-3.65,1.67,1.48,1.01,40,40
-0.48,-3.53,1.56,1.48,0.98,40,40
-0.48,-3.41,1.48,1.49,1.00,40,40
-0.47,-3.28,1.39,1.49,1.01,40,40
-0.45,-3.16,1.28,1.49,0.98,40,40
-0.41,-3.04,1.19,1.49,1.00,40,40
-0.36,-2.92,1.10,1.50,1.01,40,40
-0.31,-2.82,1.01,1.46,0.98,40,40
-0.24,-2.71,0.92,1.47,1.00,40,40
